Codigo,Titulo
212210,Minería de hierro
21222,Minería de oro y plataT
212221,Minería de oro
212222,Minería de plata
21223,"Minería de cobre, plomo y zincT"
212231,Minería de cobre
212232,Minería de plomo y zinc
21229,Minería de otros minerales metálicosT
212291,Minería de manganeso
212292,Minería de mercurio y antimonio
212293,Minería de uranio y minerales radiactivos
212299,Minería de otros minerales metálicos
2123,Minería de minerales no metálicosT
21231,"Minería de piedra caliza, mármol y otras piedras dimensionadasT"
212311,Minería de piedra caliza
212312,Minería de mármol
212319,Minería de otras piedras dimensionadas
21232,"Minería de arena, grava, tezontle, tepetate, arcillas y de otros minerales refractariosT"
212321,Minería de arena y grava para la construcción
212322,Minería de tezontle y tepetate
212323,Minería de feldespato
212324,Minería de sílice
212325,Minería de caolín
212329,Minería de otras arcillas y de otros minerales refractarios
21239,Minería de otros minerales no metálicosT
212391,Minería de sal
212392,Minería de piedra de yeso
212393,Minería de barita
212394,Minería de roca fosfórica
212395,Minería de fluorita
212396,Minería de grafito
212397,Minería de azufre
212398,Minería de minerales no metálicos para productos químicos
212399,Minería de otros minerales no metálicos
213,Servicios relacionados con la mineríaT
2131,Servicios relacionados con la mineríaT
21311,Servicios relacionados con la mineríaT
213111,Perforación de pozos petroleros y de gas
213119,Otros servicios relacionados con la minería
22,"Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor finalT"
221,"Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor finalT"
2211,"Generación, transmisión, distribución y comercialización de energía eléctricaT"
22111,Generación de energía eléctricaT
221111,Generación de electricidad a partir de combustibles fósiles
221112,Generación de electricidad a partir de energía hidráulica
221113,Generación de electricidad a partir de energía solar
221114,Generación de electricidad a partir de energía eólica
221119,Generación de electricidad a partir de otro tipo de energía
22112,"Transmisión, distribución y comercialización de energía eléctricaT"
221121,Transmisión de energía eléctrica
221122,Distribución de energía eléctrica
221123,Comercialización de energía eléctrica
2212,Suministro de gas natural por ductos al consumidor finalT
22121,Suministro de gas natural por ductos al consumidor finalT
221210,Suministro de gas natural por ductos al consumidor final
2213,"Captación, tratamiento y suministro de aguaT"
22131,"Captación, tratamiento y suministro de agua"
221311,"Captación, tratamiento y suministro de agua realizados por el sector privado"
221312,"Captación, tratamiento y suministro de agua realizados por el sector público"
23,ConstrucciónT
236,EdificaciónT
2361,Edificación residencialT
23611,Edificación residencialT
236111,Edificación de vivienda unifamiliar
236112,Edificación de vivienda multifamiliar
236113,Supervisión de edificación residencial
2362,Edificación no residencialT
23621,Edificación de naves y plantas industrialesT
236211,"Edificación de naves y plantas industriales, excepto la supervisión"
236212,Supervisión de edificación de naves y plantas industriales
23622,"Edificación de inmuebles comerciales y de servicios, y otras edificaciones no residencialesT"
236221,"Edificación de inmuebles comerciales y de servicios, y otras edificaciones no residenciales, excepto la supervisión"
236222,"Supervisión de edificación de inmuebles comerciales y de servicios, y otras edificaciones no residenciales"
237,Construcción de obras de ingeniería civilT
2371,"Construcción de obras para el suministro de agua, petróleo, gas, energía eléctrica y telecomunicacionesT"
23711,"Construcción de obras para el tratamiento, distribución y suministro de agua, drenaje y riegoT"
237111,"Construcción de obras para el tratamiento, distribución y suministro de agua y drenaje"
237112,Construcción de sistemas de riego agrícola
237113,"Supervisión de construcción de obras para el tratamiento, distribución y suministro de agua, drenaje y riego"
23712,Construcción de obras para petróleo y gasT
237121,Construcción de sistemas de distribución de petróleo y gas
237122,Construcción de plantas de refinería y petroquímica
237123,Supervisión de construcción de obras para petróleo y gas
23713,Construcción de obras de generación y conducción de energía eléctrica y de obras para telecomunicacionesT
237131,Construcción de obras de generación y conducción de energía eléctrica
237132,Construcción de obras para telecomunicaciones
237133,Supervisión de construcción de obras de generación y conducción de energía eléctrica y de obras para telecomunicaciones
2372,División de terrenos y construcción de obras de urbanizaciónT
23721,División de terrenos y construcción de obras de urbanizaciónT
237211,División de terrenos
237212,Construcción de obras de urbanización
237213,Supervisión de división de terrenos y de construcción de obras de urbanización
2373,Construcción de vías de comunicaciónT
23731,Construcción de vías de comunicaciónT
237311,Instalación de señalamientos y protecciones en obras viales
237312,"Construcción de carreteras, puentes y similares"
237313,Supervisión de construcción de vías de comunicación
2379,Otras construcciones de ingeniería civilT
23799,Otras construcciones de ingeniería civilT
237991,Construcción de presas y represas
237992,"Construcción de obras marítimas, fluviales y subacuáticas"
237993,Construcción de obras para transporte eléctrico y ferroviario
237994,Supervisión de construcción de otras obras de ingeniería civil 
237999,Otras construcciones de ingeniería civil
238,Trabajos especializados para la construcciónT
2381,"Cimentaciones, montaje de estructuras prefabricadas y trabajos en exterioresT"
23811,Trabajos de cimentaciones
238110,Trabajos de cimentaciones
23812,Montaje de estructuras prefabricadas
238121,Montaje de estructuras de concreto prefabricadas
238122,Montaje de estructuras de acero prefabricadas
23813,Trabajos de albañilería
238130,Trabajos de albañilería
23819,Otros trabajos en exteriores
238190,Otros trabajos en exteriores
2382,Instalaciones y equipamiento en construccionesT
23821,Instalaciones eléctricas en construccionesT
238210,Instalaciones eléctricas en construcciones
23822,"Instalaciones hidrosanitarias, de gas, sistemas centrales de aire acondicionado y calefacciónT"
238221,Instalaciones hidrosanitarias y de gas
238222,Instalaciones de sistemas centrales de aire acondicionado y calefacción
23829,Otras instalaciones y equipamiento en construccionesT
238290,Otras instalaciones y equipamiento en construcciones
2383,Trabajos de acabados en edificacionesT
23831,"Colocación de muros falsos, aislamiento y enyesadoT"
238311,Colocación de muros falsos y aislamiento
238312,"Trabajos de enyesado, empastado y tiroleado"
23832,Trabajos de pintura y otros cubrimientos de paredesT
238320,Trabajos de pintura y otros cubrimientos de paredes
23833,Colocación de pisos flexibles y de maderaT
238330,Colocación de pisos flexibles y de madera
23834,Colocación de pisos cerámicos y azulejosT
238340,Colocación de pisos cerámicos y azulejos
23835,Realización de trabajos de carpintería en el lugar de la construcciónT
238350,Realización de trabajos de carpintería en el lugar de la construcción
23839,Otros trabajos de acabados en edificacionesT
238390,Otros trabajos de acabados en edificaciones
2389,Otros trabajos especializados para la construcciónT
23891,Preparación de terrenos para la construcciónT
238910,Preparación de terrenos para la construcción
23899,Otros trabajos especializados para la construcciónT
238990,Otros trabajos especializados para la construcción
31-33,Industrias manufacturerasT
311,Industria alimentariaT
3111,Elaboración de alimentos balanceados para animalesT
31111,Elaboración de alimentos balanceados para animalesT
311110,Elaboración de alimentos balanceados para animales
3112,Molienda de granos y de semillas y obtención de aceites y grasasT
31121,"Beneficio del arroz, elaboración de productos de molinería, y de maltaT"
311211,Beneficio del arroz
311212,Elaboración de harina de trigo
311213,Elaboración de harina de maíz
311214,Elaboración de harina de otros productos agrícolas
311215,Elaboración de malta
31122,"Elaboración de almidones, aceites y grasas vegetales comestiblesT"
311221,Elaboración de féculas y otros almidones y sus derivados
311222,Elaboración de aceites y grasas vegetales comestibles
31123,Elaboración de cereales para el desayunoT
311230,Elaboración de cereales para el desayuno
3113,"Elaboración de azúcares, chocolates, dulces y similaresT"
31131,Elaboración de azúcaresT
311311,Elaboración de azúcar de caña
311319,Elaboración de otros azúcares
31134,"Elaboración de dulces, chicles y productos de confitería que no sean de chocolateT"
311340,"Elaboración de dulces, chicles y productos de confitería que no sean de chocolate"
31135,Elaboración de chocolate y productos de chocolateT
311350,Elaboración de chocolate y productos de chocolate
3114,"Conservación de frutas, verduras, guisos y otros alimentos preparadosT"
31141,"Congelación de frutas, verduras, guisos y otros alimentos preparadosT"
311411,Congelación de frutas y verduras
311412,Congelación de guisos y otros alimentos preparados
31142,"Conservación de frutas, verduras, guisos y otros alimentos preparados por procesos distintos a la congelaciónT"
311421,Deshidratación de frutas y verduras
311422,Conservación de frutas y verduras por procesos distintos a la congelación y la deshidratación
311423,Conservación de guisos y otros alimentos preparados por procesos distintos a la congelación
3115,Elaboración de productos lácteosT
31151,Elaboración de leche y derivados lácteosT
311511,Elaboración de leche líquida
311512,"Elaboración de leche en polvo, condensada y evaporada"
311513,Elaboración de derivados y fermentos lácteos
31152,Elaboración de helados y paletasT
311520,Elaboración de helados y paletas
3116,"Matanza, empacado y procesamiento de carne de ganado, aves y otros animales comestiblesT"
31161,"Matanza, empacado y procesamiento de carne de ganado, aves y otros animales comestiblesT"
311611,"Matanza de ganado, aves y otros animales comestibles"
311612,"Corte y empacado de carne de ganado, aves y otros animales comestibles"
311613,"Elaboración de embutidos y otras conservas de carne de ganado, aves y otros animales comestibles"
311614,Elaboración de manteca y otras grasas animales comestibles
3117,Preparación y envasado de pescados y mariscosT
31171,Preparación y envasado de pescados y mariscosT
311710,Preparación y envasado de pescados y mariscos
3118,Elaboración de productos de panadería y tortillasT
31181,Elaboración de pan y otros productos de panaderíaT
311811,Panificación industrial
311812,Panificación tradicional
311813,Elaboración de tortillas de harina de trigo de forma tradicional
31182,Elaboración de galletas y pastas para sopaT
311820,Elaboración de galletas y pastas para sopa
31183,Elaboración de tortillas de maíz y molienda de nixtamalT
311830,Elaboración de tortillas de maíz y molienda de nixtamal
3119,Otras industrias alimentariasT
31191,Elaboración de botanasT
311910,Elaboración de botanas
31192,Industrias del café y del téT
311921,Beneficio del café
311922,Elaboración de café tostado y molido destinado a unidades que lo comercializan
311923,Elaboración de café instantáneo
311924,Preparación y envasado de té
31193,"Elaboración de concentrados, polvos, jarabes y esencias de sabor para bebidasT"
311930,"Elaboración de concentrados, polvos, jarabes y esencias de sabor para bebidas"
31194,Elaboración de condimentos y aderezosT
311940,Elaboración de condimentos y aderezos
31199,Elaboración de otros alimentosT
311991,Elaboración de gelatinas y otros postres en polvo
311992,Elaboración de levadura
311993,Elaboración de alimentos frescos para consumo inmediato
311999,Elaboración de otros alimentos procesados y envasados
312,Industria de las bebidas y del tabacoT
3121,Industria de las bebidasT
31211,"Elaboración de refrescos, hielo y otras bebidas no alcohólicas, y purificación y embotellado de aguaT"
312111,Elaboración de refrescos y otras bebidas no alcohólicas
312112,Purificación y embotellado de agua
312113,Elaboración de hielo
31212,Elaboración de cervezaT
312120,Elaboración de cerveza
31213,"Elaboración de bebidas alcohólicas a base de uva y bebidas fermentadas, excepto cervezaT"
312131,Elaboración de bebidas alcohólicas a base de uva
312132,Elaboración de pulque
312139,Elaboración de sidra y otras bebidas fermentadas
31214,"Elaboración de bebidas destiladas, excepto de uvaT"
312141,Elaboración de ron y otras bebidas destiladas de caña
312143,Obtención de alcohol etílico potable
312144,Elaboración de tequila
312145,Elaboración de mezcal
312149,Elaboración de otras bebidas destiladas
3122,Industria del tabacoT
31221,Beneficio del tabaco
312210,Beneficio del tabaco
31222,Elaboración de productos de tabaco
312221,Elaboración de cigarros
312222,Elaboración de puros y otros productos de tabaco
313,Fabricación de insumos textiles y acabado de textilesT
3131,"Preparación e hilado de fibras textiles, y fabricación de hilosT"
31311,"Preparación e hilado de fibras textiles, y fabricación de hilosT"
313111,Preparación e hilado de fibras duras naturales
313112,Preparación e hilado de fibras blandas naturales
313113,Fabricación de hilos para coser y bordar
3132,Fabricación de telasT
31321,Fabricación de telas anchas de tejido de tramaT
313210,Fabricación de telas anchas de tejido de trama
31322,Fabricación de telas angostas de tejido de trama y pasamaneríaT
313220,Fabricación de telas angostas de tejido de trama y pasamanería
31323,Fabricación de telas no tejidas (comprimidas)T
313230,Fabricación de telas no tejidas (comprimidas)
31324,Fabricación de telas de tejido de puntoT
313240,Fabricación de telas de tejido de punto
3133,Acabado de productos textiles y fabricación de telas recubiertasT
31331,Acabado de productos textilesT
313310,Acabado de productos textiles
31332,Fabricación de telas recubiertasT
313320,Fabricación de telas recubiertas
314,"Fabricación de productos textiles, excepto prendas de vestirT"
3141,"Confección de alfombras, blancos y similaresT"
31411,Fabricación de alfombras y tapetesT
314110,Fabricación de alfombras y tapetes
31412,"Confección de cortinas, blancos y similaresT"
314120,"Confección de cortinas, blancos y similares"
3149,"Fabricación de otros productos textiles, excepto prendas de vestirT"
31491,Confección de costales y productos de textiles recubiertos y de materiales sucedáneosT
314911,Confección de costales
314912,Confección de productos de textiles recubiertos y de materiales sucedáneos
31499,Fabricación de otros productos textiles no clasificados en otra parteT
314991,"Confección, bordado y deshilado de productos textiles"
314992,Fabricación de redes y otros productos de cordelería
314993,Fabricación de borras y estopas
314999,Fabricación de banderas y otros productos textiles no clasificados en otra parte
315,Fabricación de prendas de vestirT
3151,Fabricación de prendas de vestir de tejido de puntoT
31512,Fabricación de prendas de vestir de tejido de puntoT
315121,Fabricación de calcetines y medias de tejido de punto
315122,Fabricación de ropa interior de tejido de punto
315123,Fabricación de ropa exterior de tejido de punto
3152,Confección de prendas de vestirT
31521,"Confección de prendas de vestir de cuero, piel y materiales sucedáneos"
315210,"Confección de prendas de vestir de cuero, piel y materiales sucedáneos"
31522,Confección de prendas de vestir de materiales textiles 
315221,Confección en serie de ropa interior y de dormir
315222,Confección en serie de camisas
315223,Confección en serie de uniformes
315224,Confección en serie de disfraces y trajes típicos
315225,Confección de prendas de vestir sobre medida
315229,Confección en serie de otra ropa exterior de materiales textiles
3159,Confección de accesorios de vestir y otras prendas de vestir no clasificados en otra parteT
31599,Confección de accesorios de vestir y otras prendas de vestir no clasificados en otra parteT
315991,Confección de sombreros y gorras
315999,Confección de otros accesorios y prendas de vestir no clasificados en otra parte
316,"Curtido y acabado de cuero y piel, y fabricación de productos de cuero, piel y materiales sucedáneosT"
3161,Curtido y acabado de cuero y pielT
31611,Curtido y acabado de cuero y pielT
316110,Curtido y acabado de cuero y piel
3162,Fabricación de calzadoT
31621,Fabricación de calzadoT
316211,Fabricación de calzado con corte de piel y cuero
316212,Fabricación de calzado con corte de tela
316213,Fabricación de calzado de plástico
316214,Fabricación de calzado de hule
316219,Fabricación de huaraches y calzado de otro tipo de materiales
3169,"Fabricación de otros productos de cuero, piel y materiales sucedáneosT"
31699,"Fabricación de otros productos de cuero, piel y materiales sucedáneosT"
316991,"Fabricación de bolsos de mano, maletas y similares"
316999,"Fabricación de otros productos de cuero, piel y materiales sucedáneos"
321,Industria de la maderaT
3211,Aserrado y conservación de la maderaT
32111,Aserrado y conservación de la maderaT
321111,Aserraderos integrados
321112,Aserrado de tablas y tablones
321113,Tratamiento de la madera y fabricación de postes y durmientes
3212,Fabricación de laminados y aglutinados de maderaT
32121,Fabricación de laminados y aglutinados de maderaT
321210,Fabricación de laminados y aglutinados de madera
3219,Fabricación de otros productos de maderaT
32191,Fabricación de productos de madera para la construcciónT
321910,Fabricación de productos de madera para la construcción
32192,Fabricación de productos para embalaje y envases de maderaT
321920,Fabricación de productos para embalaje y envases de madera
32199,"Fabricación de otros productos de madera y de materiales trenzables, excepto palmaT"
321991,"Fabricación de productos de materiales trenzables, excepto palma"
321992,Fabricación de artículos y utensilios de madera para el hogar
321993,Fabricación de productos de madera de uso industrial
321999,Fabricación de otros productos de madera
322,Industria del papelT
3221,"Fabricación de pulpa, papel y cartónT"
32211,Fabricación de pulpaT
322110,Fabricación de pulpa
32212,Fabricación de papelT
322121,Fabricación de papel en plantas integradas
322122,Fabricación de papel a partir de pulpa
32213,Fabricación de cartónT
322131,Fabricación de cartón en plantas integradas
322132,Fabricación de cartón y cartoncillo a partir de pulpa
3222,Fabricación de productos de cartón y papelT
32221,Fabricación de envases de cartónT
322210,Fabricación de envases de cartón
32222,Fabricación de bolsas de papel y productos celulósicos recubiertos y tratadosT
322220,Fabricación de bolsas de papel y productos celulósicos recubiertos y tratados
32223,Fabricación de productos de papeleríaT
322230,Fabricación de productos de papelería
32229,Fabricación de otros productos de cartón y papelT
322291,Fabricación de pañales desechables y productos sanitarios
322299,Fabricación de otros productos de cartón y papel
323,Impresión e industrias conexasT
3231,Impresión e industrias conexasT
32311,ImpresiónT
323111,"Impresión de libros, periódicos y revistas"
323119,Impresión de formas continuas y otros impresos
32312,Industrias conexas a la impresiónT
323120,Industrias conexas a la impresión
324,Fabricación de productos derivados del petróleo y del carbónT
3241,Fabricación de productos derivados del petróleo y del carbónT
32411,Refinación de petróleoT
324110,Refinación de petróleo
32412,Fabricación de productos de asfaltoT
324120,Fabricación de productos de asfalto
32419,Fabricación de otros productos derivados del petróleo refinado y del carbón mineralT
324191,Fabricación de aceites y grasas lubricantes
324199,Fabricación de coque y otros productos derivados del petróleo refinado y del carbón mineral
325,Industria químicaT
3251,Fabricación de productos químicos básicosT
32511,Fabricación de petroquímicos básicos del gas natural y del petróleo refinadoT
325110,Fabricación de petroquímicos básicos del gas natural y del petróleo refinado
32512,Fabricación de gases industrialesT
325120,Fabricación de gases industriales
32513,Fabricación de pigmentos y colorantes sintéticosT
325130,Fabricación de pigmentos y colorantes sintéticos
32518,Fabricación de otros productos químicos básicos inorgánicosT
325180,Fabricación de otros productos químicos básicos inorgánicos
32519,Fabricación de otros productos químicos básicos orgánicosT
325190,Fabricación de otros productos químicos básicos orgánicos
3252,"Fabricación de resinas y hules sintéticos, y fibras químicasT"
32521,Fabricación de resinas y hules sintéticosT
325211,Fabricación de resinas sintéticas
325212,Fabricación de hules sintéticos
32522,Fabricación de fibras químicasT
325220,Fabricación de fibras químicas
3253,"Fabricación de fertilizantes, plaguicidas y otros agroquímicosT"
32531,Fabricación de fertilizantes y compostaT
325310,Fabricación de fertilizantes y composta
32532,"Fabricación de plaguicidas y otros agroquímicos, excepto fertilizantes y compostaT"
325320,"Fabricación de plaguicidas y otros agroquímicos, excepto fertilizantes y composta"
3254,Fabricación de productos farmacéuticosT
32541,Fabricación de productos farmacéuticosT
325411,Fabricación de materias primas para la industria farmacéutica
325412,Fabricación de preparaciones farmacéuticas
3255,"Fabricación de pinturas, recubrimientos y adhesivosT"
32551,Fabricación de pinturas y recubrimientosT
325510,Fabricación de pinturas y recubrimientos
32552,Fabricación de adhesivosT
325520,Fabricación de adhesivos
3256,"Fabricación de jabones, limpiadores y preparaciones de tocadorT"
32561,"Fabricación de jabones, limpiadores y dentífricosT"
325610,"Fabricación de jabones, limpiadores y dentífricos"
32562,"Fabricación de cosméticos, perfumes y otras preparaciones de tocadorT"
325620,"Fabricación de cosméticos, perfumes y otras preparaciones de tocador"
3259,Fabricación de otros productos químicosT
32591,Fabricación de tintas para impresiónT
325910,Fabricación de tintas para impresión
32592,Fabricación de explosivosT
325920,Fabricación de explosivos
32599,Fabricación de otros productos químicosT
325991,Fabricación de cerillos
325992,"Fabricación de películas, placas y papel fotosensible para fotografía"
325993,Fabricación de resinas de plásticos reciclados
325999,Fabricación de otros productos químicos
326,Industria del plástico y del huleT
3261,Fabricación de productos de plásticoT
32611,Fabricación de bolsas y películas de plásticoT
326110,Fabricación de bolsas y películas de plástico
32612,"Fabricación de tubería y conexiones, y tubos para embalajeT"
326120,"Fabricación de tubería y conexiones, y tubos para embalaje"
32613,Fabricación de laminados de plásticoT
326130,Fabricación de laminados de plástico
32614,Fabricación de espumas y productos de poliestirenoT
326140,Fabricación de espumas y productos de poliestireno
32615,Fabricación de espumas y productos de uretanoT
326150,Fabricación de espumas y productos de uretano
32616,Fabricación de botellas de plásticoT
326160,Fabricación de botellas de plástico
32619,Fabricación de otros productos de plásticoT
326191,Fabricación de productos de plástico para el hogar con y sin reforzamiento
326192,Fabricación de autopartes de plástico con y sin reforzamiento
326193,Fabricación de envases y contenedores de plástico para embalaje con y sin reforzamiento
326194,Fabricación de otros productos de plástico de uso industrial sin reforzamiento
326198,Fabricación de otros productos de plástico con reforzamiento
326199,Fabricación de otros productos de plástico sin reforzamiento
3262,Fabricación de productos de huleT
32621,Fabricación y revitalización de llantasT
326211,Fabricación de llantas y cámaras
326212,Revitalización de llantas
32622,Fabricación de bandas y mangueras de hule y de plásticoT
326220,Fabricación de bandas y mangueras de hule y de plástico
32629,Fabricación de otros productos de huleT
326290,Fabricación de otros productos de hule
327,Fabricación de productos a base de minerales no metálicosT
3271,Fabricación de productos a base de arcillas y minerales refractariosT
32711,"Fabricación de artículos de alfarería, porcelana, loza y muebles de bañoT"
327111,"Fabricación de artículos de alfarería, porcelana y loza"
327112,Fabricación de muebles de baño
32712,Fabricación de productos a base de arcilla para la construcciónT
327121,Fabricación de ladrillos no refractarios
327122,Fabricación de azulejos y losetas no refractarias
327123,Fabricación de productos refractarios
3272,Fabricación de vidrio y productos de vidrioT
32721,Fabricación de vidrio y productos de vidrioT
327211,Fabricación de vidrio
327212,Fabricación de espejos
327213,Fabricación de envases y ampolletas de vidrio
327214,Fabricación de fibra de vidrio
327215,Fabricación de artículos de vidrio de uso doméstico 
327216,Fabricación de artículos de vidrio de uso industrial y comercial 
327219,Fabricación de otros productos de vidrio
3273,"Fabricación de cemento, concreto y sus productosT"
32731,Fabricación de cemento y productos a base de cemento en plantas integradasT
327310,Fabricación de cemento y productos a base de cemento en plantas integradas
32732,Fabricación de concretoT
327320,Fabricación de concreto
32733,Fabricación de tubos y bloques de cemento y concretoT
327330,Fabricación de tubos y bloques de cemento y concreto 
32739,Fabricación de otros productos de cemento y concretoT
327391,Fabricación de productos preesforzados de concreto
327399,Fabricación de otros productos de cemento y concreto 
3274,"Fabricación de cal, yeso y productos de yesoT"
32741,Fabricación de calT
327410,Fabricación de cal
32742,Fabricación de yeso y productos de yesoT
327420,Fabricación de yeso y productos de yeso
3279,Fabricación de otros productos a base de minerales no metálicosT
32791,Fabricación de productos abrasivosT
327910,Fabricación de productos abrasivos
32799,Fabricación de otros productos a base de minerales no metálicosT
327991,Fabricación de productos a base de piedras de cantera
327999,Fabricación de otros productos a base de minerales no metálicos
